지점명,주소,위도,경도
역삼아레나빌딩,서울특별시 강남구 언주로 425 (역삼동),37.501087,127.043069
논현역사거리,서울특별시 강남구 강남대로 538 (논현동),37.510178,127.022223
신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동),37.514132,127.020563
국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동),37.499517,127.031495
스탈릿대치R,서울특별시 강남구 남부순환로 2947 (대치동),37.494668,127.062583
봉은사역,서울특별시 강남구 봉은사로 619 (삼성동),37.515,127.063196
압구정윤성빌딩,서울특별시 강남구 논현로 834 (신사동),37.5227934,127.0286009
코엑스별마당,서울특별시 강남구 영동대로 513 (삼성동),37.51015,127.060275
삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동),37.50775,127.060651
압구정R,서울특별시 강남구 언주로 861 (신사동),37.5273669,127.033061
수서역R,서울특별시 강남구 광평로 281 (수서동),37.488008,127.10265
양재강남빌딩R,서울특별시 강남구 남부순환로 2621 (도곡동),37.485192,127.036685
선릉동신빌딩R,서울특별시 강남구 테헤란로 409 (삼성동),37.505321,127.050409
봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동),37.511293,127.048409
강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동),37.502117,127.026672
스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,37.50999,127.061455
강남구청정문,서울특별시 강남구 학동로 419 (청담동),37.518181,127.045995
도곡공원,서울특별시 강남구 도곡로 205 (역삼동),37.492805,127.041309
강남R,서울특별시 강남구 강남대로 390 (역삼동),37.497711,127.028439
대치은마사거리,서울특별시 강남구 도곡로 457 (대치동),37.498973,127.060172
청담영동대로,서울특별시 강남구 영동대로 720 (청담동),37.522156,127.056449
압구정,서울특별시 강남구 압구정로30길 17 (신사동),37.526283,127.02956
신사가로수,서울특별시 강남구 압구정로12길 32 (신사동),37.521852,127.02251
청담스타R,서울특별시 강남구 도산대로57길 24 (청담동),37.525216,127.041827
강남우성,서울특별시 강남구 강남대로 328 (역삼동),37.492396,127.03091
학동사거리,서울특별시 강남구 도산대로 328 (논현동),37.5223645,127.0379543
대치사거리,서울특별시 강남구 삼성로 402 (대치동),37.503331,127.058817
포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,37.5075307,127.0574271
을지병원사거리,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",37.5191632,127.0286446
신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,37.5162021,127.0207428
도곡역,서울특별시 강남구 남부순환로 2909 (대치동),37.492167,127.057398
서울세관사거리,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,37.514887,127.035653
청담사거리,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,37.5236351,127.0468651
한티역,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",37.496801,127.055055
역삼초교사거리,서울특별시 강남구 역삼로 123 (역삼동),37.4941059,127.0329973
코엑스몰,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 O103호,37.513715,127.059245
가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",37.5231593,127.021625
역삼대로,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",37.501623,127.039375
역삼포스코,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)",37.499721,127.033582
강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",37.50314,127.025546
청담,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",37.5243631,127.0515599
삼성도심공항,서울특별시 강남구 테헤란로87길 33 (삼성동),37.5097863,127.0579134
